%time,field.header.seq,field.header.stamp,field.header.frame_id,field.utc_time,field.latitude,field.longitude,field.depth,field.altitude,field.roll,field.pitch,field.heading,field.fwd_velocity,field.stbd_velocity,field.dwn_velocity,field.fwd_ang_rate,field.stbd_ang_rate,field.dwn_ang_rate,field.sound_velocity,field.temperature,field.position_quality,field.heading_quality,field.velocity_quality,field.error,field.mode,field.heading_valid,field.altitude_valid,field.velocity_valid,field.depth_valid,field.sound_velocity_valid,field.temperature_valid,field.position_valid,field.utc_time_valid
1652282688406682430,1810,1652282688406682430,world,1652282688.397534,51.245763706974685,-2.4231464322656393,13.058,0.0,-1.309,-3.377,207.988,-0.031,-0.011,-0.013000000000000001,-0.429,0.484,0.033,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688426687845,1811,1652282688426687845,world,1652282688.4175348,51.245763706974685,-2.4231464322656393,13.058,0.0,-1.3145,-3.3659999999999997,207.9825,-0.031,-0.009000000000000001,-0.013000000000000001,-0.297,0.528,0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688451681437,1812,1652282688451681437,world,1652282688.4375339,51.245763706974685,-2.4231464322656393,13.058,0.0,-1.3199999999999998,-3.3659999999999997,207.9825,-0.032,-0.01,-0.012,0.242,-0.154,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688471712998,1813,1652282688471712998,world,1652282688.457535,51.245763706974685,-2.4231463484466076,13.057,0.0,-1.3145,-3.3714999999999997,207.9825,-0.031,-0.012,-0.012,0.869,0.088,-0.077,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688491682052,1814,1652282688491682052,world,1652282688.4775329,51.2457637488842,-2.4231463484466076,13.057,0.0,-1.3145,-3.3659999999999997,207.9825,-0.031,-0.009000000000000001,-0.012,-0.264,0.34099999999999997,-0.05499999999999999,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688511681915,1815,1652282688511681915,world,1652282688.497536,51.2457637488842,-2.4231463484466076,13.057,0.0,-1.3255,-3.3659999999999997,207.9825,-0.032,-0.009000000000000001,-0.012,-0.429,-0.418,-0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688531749687,1816,1652282688531749687,world,1652282688.517534,51.2457637488842,-2.4231463484466076,13.057,0.0,-1.3199999999999998,-3.3714999999999997,207.9825,-0.031,-0.011,-0.012,-0.19799999999999998,-0.352,-0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688546680977,1817,1652282688546680977,world,1652282688.537535,51.2457637488842,-2.4231463484466076,13.056000000000001,0.0,-1.3145,-3.3659999999999997,207.9825,-0.03,-0.01,-0.013000000000000001,-0.23099999999999998,0.429,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688566688455,1818,1652282688566688455,world,1652282688.557534,51.2457637488842,-2.4231463484466076,13.056000000000001,0.0,-1.3199999999999998,-3.3604999999999996,207.9825,-0.031,-0.008,-0.012,-0.27499999999999997,0.264,0.05499999999999999,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688586689230,1819,1652282688586689230,world,1652282688.577535,51.2457637488842,-2.4231463484466076,13.056000000000001,0.0,-1.3255,-3.3659999999999997,207.9825,-0.031,-0.01,-0.011,0.484,-0.38499999999999995,0.05499999999999999,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
